task,arch,model,probe,probe_display,layer,count,mean,std,min,max,accum_max
gpt2m_wt2,gpt2,gpt2-medium,input_ids,Input IDs,all,2383872,5051.929503,9079.893735,6.000000,50253.000000,
gpt2m_wt2,gpt2,gpt2-medium,after_embed,After Embedding,all,2441084928,0.001102,0.097488,-2.694510,2.819852,
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,0,2441084928,0.001737,0.772083,-5.532401,5.278058,13.179238
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,1,2441084928,0.015439,0.883952,-6.893527,7.098383,25.018398
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,2,2441084928,-0.036219,1.460131,-11.688513,11.501880,28.576355
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,3,2441084928,-0.041942,1.680681,-14.861329,12.286389,33.897202
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,4,2441084928,0.015556,1.637566,-16.074961,17.070230,52.979198
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,5,2441084928,-0.002730,1.575965,-20.555407,17.136711,55.462364
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,6,2441084928,-0.068846,1.557868,-14.577256,13.807528,40.482910
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,7,2441084928,0.050603,1.451713,-14.692262,13.606176,40.379154
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,8,2441084928,0.003731,1.323796,-12.708426,11.962408,32.975681
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,9,2441084928,-0.037608,1.550193,-15.407310,14.321136,42.606281
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,10,2441084928,0.060264,1.458112,-15.249842,14.788306,39.961685
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,11,2441084928,0.009396,1.321406,-16.784788,11.150655,39.612667
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,12,2441084928,0.009881,1.428129,-15.104441,15.011042,40.677376
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,13,2441084928,0.000564,1.413833,-13.723312,10.015160,40.564045
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,14,2441084928,-0.041598,1.399402,-16.458868,11.114158,37.643414
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,15,2441084928,0.005440,1.293728,-11.531790,12.259948,33.859558
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,16,2441084928,-0.042912,1.450976,-12.593624,17.071367,32.738003
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,17,2441084928,0.009829,1.343481,-9.230659,13.225373,33.838905
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,18,2441084928,-0.011192,1.357842,-12.364774,11.530179,36.302567
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,19,2441084928,-0.020670,1.311953,-10.160555,10.331976,34.708694
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,20,2441084928,-0.010465,1.280170,-10.739743,11.255983,35.149593
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,21,2441084928,0.039484,1.337636,-12.219081,11.057215,39.469765
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,22,2441084928,0.014302,1.269913,-11.278069,11.117878,40.309532
gpt2m_wt2,gpt2,gpt2-medium,query_proj,XW_q + b_q,23,2441084928,-0.010577,1.218069,-16.394453,16.984852,43.828960
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,0,2441084928,-0.002971,0.721985,-6.424390,11.284043,14.463631
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,1,2441084928,0.028921,0.960962,-8.145646,7.812001,28.128336
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,2,2441084928,-0.050589,2.567587,-15.682109,14.909080,28.645599
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,3,2441084928,0.141426,4.695533,-21.858883,23.790745,33.927982
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,4,2441084928,0.046735,3.820311,-22.943172,23.233435,46.412067
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,5,2441084928,0.000411,2.932882,-25.944540,24.729870,52.178913
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,6,2441084928,-0.011129,1.918555,-21.615818,19.719025,44.103104
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,7,2441084928,-0.042181,1.718854,-13.814628,15.951079,37.814953
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,8,2441084928,0.047654,1.943309,-15.449810,17.452356,34.035339
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,9,2441084928,0.035306,1.739827,-14.951676,14.336839,41.028374
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,10,2441084928,0.011439,1.923703,-14.353662,16.779236,36.827564
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,11,2441084928,0.035273,2.193509,-18.075191,18.118402,39.729668
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,12,2441084928,0.005121,1.958151,-18.790514,16.229103,39.040527
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,13,2441084928,0.060464,2.789200,-20.311768,20.172567,37.919636
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,14,2441084928,-0.037505,2.256674,-16.992842,18.438683,37.664345
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,15,2441084928,-0.016622,2.282809,-17.619511,17.451960,34.074203
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,16,2441084928,-0.008248,2.082802,-17.098263,17.511570,34.473118
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,17,2441084928,-0.094472,1.957066,-17.277933,16.984636,35.577930
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,18,2441084928,0.007478,1.875034,-17.428637,17.114563,37.296978
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,19,2441084928,0.005533,1.580155,-12.441016,12.978372,36.425983
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,20,2441084928,-0.002326,1.513543,-13.109758,12.671190,35.200424
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,21,2441084928,-0.025388,1.585371,-14.410894,12.658407,40.893059
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,22,2441084928,-0.026928,1.396013,-11.872306,11.517938,40.038494
gpt2m_wt2,gpt2,gpt2-medium,key_proj,XW_k + b_k,23,2441084928,-0.025264,1.324659,-11.659003,10.451328,44.286598
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,0,2441084928,0.000349,0.067707,-0.765380,0.769419,2.850996
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,1,2441084928,0.015494,0.583636,-5.007438,5.071522,18.299229
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,2,2441084928,0.006491,0.590188,-4.967468,7.730664,16.425835
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,3,2441084928,-0.005471,0.498910,-5.566137,5.579907,16.032196
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,4,2441084928,-0.004350,0.508553,-4.848487,4.467399,19.311333
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,5,2441084928,0.001180,0.576781,-5.413384,5.003169,21.608763
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,6,2441084928,0.008527,0.754517,-5.764071,6.997913,29.972887
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,7,2441084928,0.002325,0.719088,-5.862677,6.132110,27.877745
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,8,2441084928,-0.003003,0.710674,-5.991492,5.995397,30.109648
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,9,2441084928,-0.001931,0.838734,-8.002281,6.960498,36.756989
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,10,2441084928,-0.001354,0.780248,-6.884182,6.535526,35.886383
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,11,2441084928,0.004768,0.801770,-7.081027,6.545005,32.854088
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,12,2441084928,-0.006654,0.901568,-7.417309,8.062111,36.440514
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,13,2441084928,0.001992,0.797787,-8.054443,7.723969,32.300228
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,14,2441084928,-0.007510,0.830074,-9.452463,9.584066,32.338188
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,15,2441084928,0.002117,0.893135,-8.979769,9.509402,32.863914
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,16,2441084928,-0.005069,0.875891,-8.800042,9.060940,31.907835
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,17,2441084928,0.006163,0.923663,-9.666648,10.816722,32.206264
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,18,2441084928,-0.001849,0.930035,-10.377837,9.492575,39.863667
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,19,2441084928,-0.010944,0.992404,-10.967316,12.218774,44.345001
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,20,2441084928,-0.003849,1.012466,-12.824636,12.430411,41.619610
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,21,2441084928,-0.011293,1.071362,-14.008833,13.211627,50.965393
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,22,2441084928,-0.017038,1.104093,-12.478095,11.729954,55.082993
gpt2m_wt2,gpt2,gpt2-medium,value_proj,XW_v + b_v,23,2441084928,0.002045,1.162719,-14.321927,12.958995,60.370403
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),0,19528679424,-0.404230,13.655551,-95.325958,108.337524,128.902145
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),1,19528679424,3.200509,17.436421,-80.264557,126.638496,172.312851
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),2,19528679424,6.001167,115.559965,-552.554810,599.890625,667.463196
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),3,19528679424,-11.676492,239.306844,-1106.159668,997.529480,1155.176025
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),4,19528679424,-20.790434,253.185366,-2333.604492,2120.879395,2550.678467
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),5,19528679424,-20.248281,160.981593,-1596.923706,1570.440063,1994.236938
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),6,19528679424,-25.887571,69.061300,-663.986816,651.018433,836.516235
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),7,19528679424,-21.769893,54.967235,-501.896912,345.321991,666.031250
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),8,19528679424,-14.336547,65.398556,-397.110657,431.589172,489.150055
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),9,19528679424,-22.562927,49.750534,-478.255829,269.401581,752.314026
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),10,19528679424,-19.378653,52.831162,-375.396393,330.093414,495.633881
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),11,19528679424,-13.675408,62.663172,-397.541168,383.555603,555.683960
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),12,19528679424,-18.903201,45.862663,-358.630463,315.265717,538.948181
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),13,19528679424,-13.107394,79.309195,-475.735016,478.319855,804.668213
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),14,19528679424,-16.161783,65.209863,-426.289093,424.224335,569.846558
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),15,19528679424,-14.166208,62.373491,-425.053619,453.550781,654.454163
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),16,19528679424,-23.400370,64.616953,-401.748810,401.372040,495.021393
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),17,19528679424,-22.885873,54.589332,-494.537201,478.731995,577.576416
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),18,19528679424,-25.681184,50.034439,-418.132294,400.904327,540.381958
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),19,19528679424,-29.343318,23.351472,-235.788055,261.310547,351.784332
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),20,19528679424,-29.159425,22.284492,-261.662781,236.083557,373.767212
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),21,19528679424,-32.201688,25.452176,-420.708221,257.948395,449.935791
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),22,19528679424,-26.296959,17.424651,-198.378571,210.898773,354.947937
gpt2m_wt2,gpt2,gpt2-medium,qkt_raw,QKᵀ (raw),23,19528679424,-7.059444,24.904544,-393.288300,242.826370,558.635986
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,0,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,12.162316,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,1,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,15.829812,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,2,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,23.323698,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,3,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,19.269318,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,4,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,80.440300,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,5,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,77.745407,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,6,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,42.635960,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,7,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,27.694859,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,8,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,22.978544,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,9,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,21.309566,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,10,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,18.410927,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,11,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,29.005474,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,12,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,32.679600,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,13,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,34.458050,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,14,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,22.155949,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,15,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,26.459867,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,16,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,26.170403,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,17,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,21.935202,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,18,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,21.391958,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,19,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,16.723030,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,20,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,15.782217,
gpt2m_wt2,gpt2,gpt2-medium,attn_scores,QKᵀ/√dₖ + mask,21,19528679424,-169808866340125241566192224375574364160.000000,170140848800420062598439853226882760704.000000,-340282346638528859811704183484516925440.000000,23.218977,
